date,women
Sep 2009,3972
Oct 2009,8439
Nov 2009,9337
Dec 2009,5431
Jan 2010,4129
Feb 2010,7632
Mar 2010,10208
Apr 2010,14336
May 2010,7297
Jun 2010,10624
Jul 2010,37908
Aug 2010,25580
Sep 2010,30021
Oct 2010,24850
Nov 2010,30915
Dec 2010,28286
Jan 2011,48220
Feb 2011,66994
Mar 2011,54862
Apr 2011,62705
May 2011,59762
Jun 2011,55543
Jul 2011,56762
Aug 2011,73897
Sep 2011,59268
Oct 2011,45369
Nov 2011,58995
Dec 2011,46893
Jan 2012,61712
Feb 2012,289843
Mar 2012,238587
Apr 2012,87907
May 2012,78144
Jun 2012,75780
Jul 2012,120345
Aug 2012,302149
Sep 2012,158948
Oct 2012,250758
Nov 2012,160845
Dec 2012,96995
Jan 2013,206774
Feb 2013,164500
Mar 2013,185139
Apr 2013,176556
May 2013,179306
Jun 2013,183191
Jul 2013,188529
Aug 2013,146959
Sep 2013,151316
Oct 2013,181161
Nov 2013,174900
Dec 2013,146080
Jan 2014,198872
